Home,Away,score,stadium,matchlink,Season,Home_goal,Home_goal_times,Away_goal,Away_goal_times,Home_assist,Home_assist_times,Away_assist,Away_assist_times,Home_Clearances,Away_Clearances,Home_Corners,Away_Corners,Home_Fouls conceded,Away_Fouls conceded,Home_Offsides,Away_Offsides,Home_Passes,Away_Passes,Home_Possession %,Away_Possession %,Home_Shots,Away_Shots,Home_Shots on target,Away_Shots on target,Home_Tackles,Away_Tackles,Home_Touches,Away_Touches,Home_Yellow cards,Away_Yellow cards,Home_Red cards,Away_Red cards,Referee,Match_Date,Attendance,Home_formation,Away_formation,Home_captain,Away_captain,Home_starting_lineup,Home_subs_lineup,Home_subout,Home_subout_time,Home_subin,Home_subin_time,Home_yellow,Home_red,Away_starting_lineup,Away_subs_lineup,Away_subout,Away_subout_time,Away_subin,Away_subin_time,Away_yellow,Away_red
Leicester,West Ham,4-1, King Power Stadium,http://www.premierleague.com/match/46838,2019/20,"Harvey Barnes,Ricardo Pereira,Ayoze Pérez,Ayoze Pérez","24,45,81,88",Mark Noble,50,"Ricardo Pereira,Harvey Barnes,Kelechi Iheanacho","24,45,88",,,10.0,24.0,7.0,8.0,10.0,19.0,2.0,1.0,569.0,273.0,67.3,32.7,19.0,6.0,8.0,2.0,17.0,9.0,771.0,456.0,1.0,1.0,0.0,0.0,David Coote,1579721400000.0,31968.0,4-1-4-1,5-3-2,Kasper Schmeichel,Mark Noble,"Kasper Schmeichel,Ben Chilwell,Çaglar Söyüncü,Ricardo Pereira,Jonny Evans,Harvey Barnes,Nampalys Mendy,Youri Tielemans,James Maddison,Ayoze Pérez,Jamie Vardy","Danny Ward,James Justin,Wes Morgan,Wilfred Ndidi,Demarai Gray,Marc Albrighton,Kelechi Iheanacho","Nampalys Mendy,Jamie Vardy,Harvey Barnes","34,43,83","Wilfred Ndidi,Kelechi Iheanacho,Wes Morgan","34,43,83",Kasper Schmeichel,,"Darren Randolph,Pablo Zabaleta,Aaron Cresswell,Issa Diop,Angelo Ogbonna,Arthur Masuaku,Robert Snodgrass,Declan Rice,Mark Noble,Manuel Lanzini,Sébastien Haller","David Martin,Fabián Balbuena,Winston Reid,Michail Antonio,Pablo Fornals,Carlos Sánchez,Albian Ajeti","Arthur Masuaku,Robert Snodgrass","45,45","Michail Antonio,Pablo Fornals","45,45",Angelo Ogbonna,
Spurs,Norwich,2-1, Tottenham Hotspur Stadium,http://www.premierleague.com/match/46844,2019/20,"Dele Alli,Son Heung-Min","38,79",Teemu Pukki,70,Serge Aurier,38,,,14.0,19.0,7.0,3.0,12.0,7.0,1.0,0.0,479.0,475.0,50.4,49.6,14.0,13.0,3.0,2.0,11.0,24.0,680.0,683.0,0.0,1.0,0.0,0.0,Chris Kavanagh,1579721400000.0,58182.0,4-2-3-1,4-2-3-1,Hugo Lloris,Grant Hanley,"Hugo Lloris,Jan Vertonghen,Toby Alderweireld,Ryan Sessegnon,Serge Aurier,Son Heung-Min,Dele Alli,Harry Winks,Giovani Lo Celso,Erik Lamela,Lucas Moura","Paulo Gazzaniga,Davinson Sánchez,Japhet Tanganga,Gedson Fernandes,Tanguy Ndombele,Eric Dier,Christian Eriksen","Harry Winks,Erik Lamela,Jan Vertonghen","56,62,75","Eric Dier,Christian Eriksen,Gedson Fernandes","56,62,75",,,"Tim Krul,Grant Hanley,Max Aarons,Christoph Zimmermann,Sam Byram,Todd Cantwell,Kenny McLean,Lukas Rupp,Ondrej Duda,Alexander Tettey,Teemu Pukki","Michael McGovern,Jamal Lewis,Tom Trybull,Onel Hernández,Ibrahim Amadou,Marco Stiepermann,Josip Drmic","Alexander Tettey,Lukas Rupp,Kenny McLean","82,86,90","Onel Hernández,Josip Drmic,Marco Stiepermann","82,86,90",Todd Cantwell,
Man Utd,Burnley,0-2, Old Trafford,http://www.premierleague.com/match/46839,2019/20,,,"Chris Wood,Jay Rodriguez","39,56",,,"Ben Mee,Chris Wood","39,56",13.0,29.0,5.0,2.0,11.0,7.0,2.0,2.0,692.0,261.0,72.2,27.8,24.0,5.0,7.0,2.0,10.0,13.0,880.0,441.0,0.0,2.0,0.0,0.0,Jonathan Moss,1579724100000.0,73198.0,4-2-3-1,4-4-2,Harry Maguire,Ben Mee,"David de Gea,Harry Maguire,Phil Jones,Aaron Wan-Bissaka,Brandon Williams,Nemanja Matic,Andreas Pereira,Fred,Daniel James,Juan Mata,Anthony Martial","Sergio Romero,Luke Shaw,Eric Bailly,Diogo Dalot,Jesse Lingard,Angel Gomes,Mason Greenwood","Andreas Pereira,Brandon Williams,Daniel James","45,69,69","Mason Greenwood,Jesse Lingard,Luke Shaw","45,69,69",,,"Nick Pope,Ben Mee,Charlie Taylor,Matthew Lowton,James Tarkowski,Jeff Hendrick,Jack Cork,Dwight McNeil,Ashley Westwood,Jay Rodriguez,Chris Wood","Joe Hart,Erik Pieters,Kevin Long,Robbie Brady,Aaron Lennon,Mace Goodridge,Matej Vydra",,,,,"Charlie Taylor,Ashley Westwood",
Bournemouth,Brighton,3-1, Vitality Stadium,http://www.premierleague.com/match/46836,2019/20,"Harry Wilson,Pascal Groß (og),Callum Wilson","36,41,74",Aaron Mooy,81,Dominic Solanke,36,,,20.0,14.0,5.0,8.0,9.0,12.0,2.0,1.0,303.0,567.0,34.7,65.3,11.0,21.0,3.0,8.0,10.0,16.0,495.0,785.0,1.0,1.0,0.0,0.0,Kevin Friend,1579635000000.0,10065.0,4-4-1-1,4-4-2,Simon Francis,Lewis Dunk,"Aaron Ramsdale,Diego Rico,Nathan Aké,Simon Francis,Adam Smith,Harry Wilson,Philip Billing,Jefferson Lerma,Ryan Fraser,Callum Wilson,Dominic Solanke","Artur Boruc,Jack Simpson,Lloyd Kelly,Dan Gosling,Andrew Surman,Lewis Cook,Sam Surridge","Dominic Solanke,Harry Wilson","85,89","Dan Gosling,Lewis Cook","85,89",Jefferson Lerma,,"Mat Ryan,Bernardo,Adam Webster,Steven Alzate,Lewis Dunk,Davy Pröpper,Aaron Mooy,Alireza Jahanbakhsh,Dale Stephens,Neal Maupay,Pascal Groß","David Button,Shane Duffy,Ezequiel Schelotto,Solly March,Leandro Trossard,Aaron Connolly,Glenn Murray","Alireza Jahanbakhsh,Bernardo,Pascal Groß","60,60,60","Aaron Connolly,Leandro Trossard,Solly March","60,60,60",Bernardo,
Aston Villa,Watford,2-1, Villa Park,http://www.premierleague.com/match/46835,2019/20,"Douglas Luiz,Tyrone Mings","68,90",Troy Deeney,38,Ezri Konsa Ngoyo,90,Gerard Deulofeu,38,14.0,33.0,6.0,3.0,11.0,18.0,0.0,3.0,558.0,314.0,64.5,35.5,16.0,8.0,5.0,2.0,9.0,21.0,790.0,522.0,2.0,2.0,0.0,0.0,Martin Atkinson,1579635000000.0,40867.0,3-4-3,4-2-3-1,Jack Grealish,Troy Deeney,"Pepe Reina,Ezri Konsa Ngoyo,Kortney Hause,Tyrone Mings,Matt Targett,Frederic Guilbert,Marvelous Nakamba,Daniel Drinkwater,Jack Grealish,Trézéguet,Anwar El Ghazi","Ørjan Nyland,Ahmed El Mohamady,James Chester,Henri Lansbury,Douglas Luiz,Conor Hourihane,Indiana Vassilev","Daniel Drinkwater,Trézéguet","56,77","Douglas Luiz,Indiana Vassilev","56,77","Tyrone Mings,Douglas Luiz",,"Ben Foster,Craig Cathcart,Adam Masina,Craig Dawson,Adrian Mariappa,Nathaniel Chalobah,Roberto Pereyra,Etienne Capoue,Gerard Deulofeu,Abdoulaye Doucouré,Troy Deeney","Heurelho Gomes,Christian Kabasele,José Holebas,Ignacio Pussetto,Domingos Quina,João Pedro,Andre Gray","Nathaniel Chalobah,Roberto Pereyra,Gerard Deulofeu","75,81,90","Ignacio Pussetto,Andre Gray,Christian Kabasele","75,81,90","Craig Cathcart,Abdoulaye Doucouré",
Crystal Palace,Southampton,0-2, Selhurst Park,http://www.premierleague.com/match/46843,2019/20,,,"Nathan Redmond,Stuart Armstrong","22,48",,,"Jack Stephens,Nathan Redmond","22,48",18.0,16.0,0.0,8.0,12.0,13.0,2.0,1.0,365.0,451.0,44.4,55.6,6.0,15.0,0.0,6.0,20.0,22.0,597.0,681.0,1.0,2.0,0.0,0.0,Andre Marriner,1579635000000.0,23739.0,4-5-1,4-4-2,James Tomkins,Pierre-Emile Højbjerg,"Vicente Guaita,James Tomkins,Gary Cahill,Jairo Riedewald,Martin Kelly,Cheikhou Kouyaté,Wilfried Zaha,James McCarthy,James McArthur,Jordan Ayew,Cenk Tosun","Wayne Hennessey,Joel Ward,Scott Dann,Max Meyer,Giovanni McGregor,Brandon Pierrick,Connor Wickham","Cheikhou Kouyaté,Martin Kelly,Cenk Tosun","62,62,69","Joel Ward,Max Meyer,Connor Wickham","62,62,69",James Tomkins,,"Alex McCarthy,Ryan Bertrand,Jack Stephens,Jannik Vestergaard,Cédric Soares,Nathan Redmond,Pierre-Emile Højbjerg,Stuart Armstrong,James Ward-Prowse,Shane Long,Michael Obafemi","Angus Gunn,Maya Yoshida,Moussa Djenepo,Oriol Romeu,Sofiane Boufal,Che Adams,Danny Ings","Cédric Soares,Shane Long,Michael Obafemi","21,70,84","Oriol Romeu,Danny Ings,Che Adams","21,70,84","Nathan Redmond,Oriol Romeu",
Everton,Newcastle,2-2, Goodison Park,http://www.premierleague.com/match/46837,2019/20,"Moise Kean,Dominic Calvert-Lewin","30,54","Florian Lejeune,Florian Lejeune","90,90","Bernard,Lucas Digne","30,54",,,16.0,27.0,6.0,4.0,13.0,10.0,1.0,0.0,562.0,462.0,54.9,45.1,17.0,9.0,8.0,3.0,15.0,9.0,769.0,659.0,1.0,1.0,0.0,0.0,Simon Hooper,1579635000000.0,38822.0,4-4-2,5-4-1,Lucas Digne,Jamaal Lascelles,"Jordan Pickford,Yerry Mina,Mason Holgate,Lucas Digne,Djibril Sidibé,Theo Walcott,Morgan Schneiderlin,Fabian Delph,Bernard,Moise Kean,Dominic Calvert-Lewin","Jonas Lössl,Leighton Baines,Michael Keane,Séamus Coleman,Tom Davies,Oumar Niasse,Anthony Gordon","Moise Kean,Bernard,Theo Walcott","71,83,88","Séamus Coleman,Tom Davies,Oumar Niasse","71,83,88",Dominic Calvert-Lewin,,"Martin Dubravka,Isaac Hayden,Federico Fernández,Ciaran Clark,Jamaal Lascelles,Matt Ritchie,Christian Atsu,Sean Longstaff,Miguel Almirón,Matthew Longstaff,Joelinton","Karl Darlow,Liam Gibson,Emil Krafth,Fabian Schär,Florian Lejeune,Jonjo Shelvey,Thomas Allan","Christian Atsu,Ciaran Clark,Joelinton","62,70,78","Emil Krafth,Florian Lejeune,Fabian Schär","62,70,78",Ciaran Clark,
Sheffield Utd,Man City,0-1, Bramall Lane,http://www.premierleague.com/match/46840,2019/20,,,Sergio Agüero,73,,,Kevin De Bruyne,73,23.0,24.0,5.0,13.0,13.0,13.0,4.0,1.0,286.0,600.0,32.7,67.3,4.0,18.0,1.0,5.0,13.0,8.0,463.0,795.0,4.0,3.0,0.0,0.0,Lee Mason,1579635000000.0,31285.0,3-5-2,3-4-2-1,Billy Sharp,Fernandinho,"Dean Henderson,Jack O'Connell,John Egan,Chris Basham,George Baldock,Oliver Norwood,Muhamed Besic,Enda Stevens,John Fleck,Billy Sharp,Oliver McBurnie","Michael Verrips,Phil Jagielka,Kieron Freeman,John Lundstram,Ben Osborn,Lys Mousset,Callum Robinson","Billy Sharp,Chris Basham,Muhamed Besic","59,78,78","Lys Mousset,Callum Robinson,John Lundstram","59,78,78","Oliver Norwood,Muhamed Besic,John Fleck,Oliver McBurnie",,"Ederson,Aymeric Laporte,Nicolás Otamendi,Fernandinho,Rodrigo,Kyle Walker,Kevin De Bruyne,Oleksandr Zinchenko,Riyad Mahrez,Gabriel Jesus,Raheem Sterling","Claudio Bravo,Eric García,João Cancelo,Ilkay Gündogan,Bernardo Silva,Sergio Agüero,Phil Foden","Gabriel Jesus,Aymeric Laporte,Raheem Sterling","67,78,90","Sergio Agüero,Eric García,Bernardo Silva","67,78,90","Fernandinho,Rodrigo,Sergio Agüero",
Chelsea,Arsenal,2-2, Stamford Bridge,http://www.premierleague.com/match/46842,2019/20,"Jorginho,César Azpilicueta","28,84","Gabriel Martinelli,Héctor Bellerín","63,87",Callum Hudson-Odoi,84,"Shkodran Mustafi,Lucas Torreira","63,87",18.0,31.0,17.0,5.0,11.0,6.0,2.0,1.0,546.0,385.0,58.8,41.2,19.0,2.0,8.0,2.0,18.0,21.0,751.0,579.0,2.0,1.0,0.0,1.0,Stuart Attwell,1579637700000.0,40577.0,4-3-3,4-2-3-1,César Azpilicueta,Héctor Bellerín,"Kepa Arrizabalaga,Antonio Rüdiger,Emerson,Andreas Christensen,César Azpilicueta,Mateo Kovacic,Jorginho,N'Golo Kanté,Callum Hudson-Odoi,Willian,Tammy Abraham","Willy Caballero,Marcos Alonso,Kurt Zouma,Mason Mount,Ross Barkley,Michy Batshuayi,Pedro","Mateo Kovacic,N'Golo Kanté,Willian","66,69,79","Ross Barkley,Mason Mount,Michy Batshuayi","66,69,79","Emerson,Andreas Christensen",,"Bernd Leno,Bukayo Saka,Shkodran Mustafi,David Luiz,Héctor Bellerín,Gabriel Martinelli,Lucas Torreira,Granit Xhaka,Mesut Özil,Nicolas Pépé,Alexandre Lacazette","Emiliano Martínez,Rob Holding,Joseph Willock,Dani Ceballos,Matteo Guendouzi,Ainsley Maitland-Niles,Eddie Nketiah","Mesut Özil,Nicolas Pépé,Gabriel Martinelli","55,81,90","Matteo Guendouzi,Rob Holding,Joseph Willock","55,81,90",Matteo Guendouzi,David Luiz
Burnley,Leicester,2-1, Turf Moor,http://www.premierleague.com/match/46827,2019/20,"Chris Wood,Ashley Westwood","56,79",Harvey Barnes,33,,,Dennis Praet,33,18.0,26.0,4.0,5.0,14.0,8.0,1.0,0.0,386.0,492.0,44.5,55.5,8.0,18.0,5.0,8.0,16.0,23.0,611.0,702.0,1.0,0.0,0.0,0.0,Anthony Taylor,1579442400000.0,19788.0,4-4-2,4-1-4-1,Ben Mee,Kasper Schmeichel,"Nick Pope,Charlie Taylor,Phil Bardsley,James Tarkowski,Ben Mee,Dwight McNeil,Jeff Hendrick,Ashley Westwood,Jack Cork,Chris Wood,Jay Rodriguez","Joe Hart,Matthew Lowton,Erik Pieters,Kevin Long,Aaron Lennon,Robbie Brady,Matej Vydra",Chris Wood,90,Aaron Lennon,90,Ben Mee,,"Kasper Schmeichel,Christian Fuchs,Çaglar Söyüncü,Ricardo Pereira,Jonny Evans,Ayoze Pérez,Nampalys Mendy,Harvey Barnes,James Maddison,Dennis Praet,Jamie Vardy","Danny Ward,Wes Morgan,James Justin,Youri Tielemans,Marc Albrighton,Demarai Gray,Kelechi Iheanacho","Ayoze Pérez,Dennis Praet","74,74","Kelechi Iheanacho,Youri Tielemans","74,74",,
Liverpool,Man Utd,2-0, Anfield,http://www.premierleague.com/match/46828,2019/20,"Virgil van Dijk,Mohamed Salah","14,90",,,"Trent Alexander-Arnold,Alisson","14,90",,,13.0,34.0,11.0,5.0,7.0,10.0,2.0,3.0,509.0,455.0,53.2,46.8,16.0,9.0,5.0,4.0,22.0,16.0,717.0,659.0,1.0,3.0,0.0,0.0,Craig Pawson,1579451400000.0,52916.0,4-3-3,3-4-1-2,Jordan Henderson,Harry Maguire,"Alisson,Andrew Robertson,Virgil van Dijk,Joseph Gomez,Trent Alexander-Arnold,Alex Oxlade-Chamberlain,Georginio Wijnaldum,Jordan Henderson,Mohamed Salah,Sadio Mané,Roberto Firmino","Adrián,Joel Matip,Fabinho,Curtis Jones,Adam Lallana,Takumi Minamino,Divock Origi","Alex Oxlade-Chamberlain,Roberto Firmino,Sadio Mané","66,83,83","Adam Lallana,Divock Origi,Fabinho","66,83,83",Mohamed Salah,,"David de Gea,Victor Lindelöf,Luke Shaw,Harry Maguire,Brandon Williams,Aaron Wan-Bissaka,Nemanja Matic,Fred,Andreas Pereira,Daniel James,Anthony Martial","Sergio Romero,Diogo Dalot,Eric Bailly,Phil Jones,Juan Mata,Jesse Lingard,Mason Greenwood","Andreas Pereira,Brandon Williams,Luke Shaw","74,74,87","Juan Mata,Mason Greenwood,Diogo Dalot","74,74,87","David de Gea,Luke Shaw,Nemanja Matic",
Watford,Spurs,0-0, Vicarage Road,http://www.premierleague.com/match/46833,2019/20,,,,,,,,,11.0,41.0,3.0,3.0,13.0,13.0,2.0,3.0,342.0,504.0,41.5,58.5,15.0,16.0,2.0,5.0,25.0,17.0,551.0,741.0,2.0,3.0,0.0,0.0,Michael Oliver,1579350600000.0,21366.0,4-2-3-1,4-3-3,Troy Deeney,Jan Vertonghen,"Ben Foster,Craig Cathcart,Craig Dawson,Adam Masina,Adrian Mariappa,Etienne Capoue,Ismaila Sarr,Nathaniel Chalobah,Abdoulaye Doucouré,Gerard Deulofeu,Troy Deeney","Heurelho Gomes,Christian Kabasele,José Holebas,Domingos Quina,Roberto Pereyra,Ignacio Pussetto,Andre Gray","Nathaniel Chalobah,Ismaila Sarr","79,89","Roberto Pereyra,Ignacio Pussetto","79,89","Etienne Capoue,Abdoulaye Doucouré",,"Paulo Gazzaniga,Japhet Tanganga,Serge Aurier,Jan Vertonghen,Toby Alderweireld,Harry Winks,Giovani Lo Celso,Dele Alli,Lucas Moura,Son Heung-Min,Erik Lamela","Michel Vorm,Davinson Sánchez,Ryan Sessegnon,Christian Eriksen,Gedson Fernandes,Oliver Skipp,Eric Dier","Dele Alli,Giovani Lo Celso","73,80","Christian Eriksen,Gedson Fernandes","73,80","Japhet Tanganga,Jan Vertonghen,Harry Winks",
Arsenal,Sheffield Utd,1-1, Emirates Stadium,http://www.premierleague.com/match/46825,2019/20,Gabriel Martinelli,45,John Fleck,83,,,,,16.0,17.0,4.0,5.0,9.0,13.0,3.0,0.0,567.0,353.0,61.0,39.0,11.0,12.0,4.0,4.0,13.0,20.0,758.0,534.0,1.0,2.0,0.0,0.0,Mike Dean,1579359600000.0,60310.0,4-2-3-1,3-5-2,Alexandre Lacazette,Oliver Norwood,"Bernd Leno,Shkodran Mustafi,Bukayo Saka,David Luiz,Ainsley Maitland-Niles,Gabriel Martinelli,Granit Xhaka,Nicolas Pépé,Mesut Özil,Lucas Torreira,Alexandre Lacazette","Emiliano Martínez,Rob Holding,Héctor Bellerín,Matteo Guendouzi,Dani Ceballos,Joseph Willock,Eddie Nketiah",Alexandre Lacazette,74,Eddie Nketiah,74,Granit Xhaka,,"Dean Henderson,Jack O'Connell,Chris Basham,John Egan,John Fleck,Enda Stevens,John Lundstram,George Baldock,Oliver Norwood,Lys Mousset,Oliver McBurnie","Michael Verrips,Phil Jagielka,Kieron Freeman,Muhamed Besic,Ben Osborn,Billy Sharp,Callum Robinson","Lys Mousset,John Lundstram,Chris Basham","56,67,76","Billy Sharp,Callum Robinson,Muhamed Besic","56,67,76","George Baldock,Oliver Norwood",
Brighton,Aston Villa,1-1, Amex Stadium,http://www.premierleague.com/match/46826,2019/20,Leandro Trossard,38,Jack Grealish,75,Neal Maupay,38,Douglas Luiz,75,12.0,19.0,3.0,4.0,11.0,13.0,2.0,4.0,500.0,397.0,55.3,44.7,10.0,8.0,2.0,3.0,20.0,20.0,729.0,618.0,3.0,3.0,0.0,0.0,Andy Madley,1579359600000.0,30551.0,4-4-2,3-4-3,Lewis Dunk,Jack Grealish,"Mat Ryan,Lewis Dunk,Steven Alzate,Bernardo,Adam Webster,Leandro Trossard,Dale Stephens,Davy Pröpper,Aaron Mooy,Neal Maupay,Aaron Connolly","David Button,Martín Montoya,Shane Duffy,Yves Bissouma,Pascal Groß,Glenn Murray,Alireza Jahanbakhsh","Aaron Connolly,Aaron Mooy,Leandro Trossard","68,81,81","Martín Montoya,Glenn Murray,Pascal Groß","68,81,81","Lewis Dunk,Adam Webster,Neal Maupay",,"Pepe Reina,Tyrone Mings,Ezri Konsa Ngoyo,Kortney Hause,Daniel Drinkwater,Marvelous Nakamba,Matt Targett,Frederic Guilbert,Jack Grealish,Anwar El Ghazi,Trézéguet","Ørjan Nyland,James Chester,Neil Taylor,Douglas Luiz,Henri Lansbury,Conor Hourihane,Indiana Vassilev","Trézéguet,Daniel Drinkwater,Marvelous Nakamba","67,68,86","Indiana Vassilev,Douglas Luiz,Conor Hourihane","67,68,86","Daniel Drinkwater,Marvelous Nakamba,Conor Hourihane",
Man City,Crystal Palace,2-2, Etihad Stadium,http://www.premierleague.com/match/46829,2019/20,"Sergio Agüero,Sergio Agüero","82,87","Cenk Tosun,Fernandinho (og)","39,90","Gabriel Jesus,Benjamin Mendy","82,87",Gary Cahill,39,3.0,44.0,14.0,2.0,9.0,7.0,0.0,1.0,666.0,270.0,72.5,27.5,25.0,5.0,6.0,3.0,13.0,18.0,898.0,458.0,1.0,2.0,0.0,0.0,Graham Scott,1579359600000.0,54439.0,4-3-3,4-5-1,David Silva,James Tomkins,"Ederson,João Cancelo,Fernandinho,Benjamin Mendy,John Stones,David Silva,Kevin De Bruyne,Ilkay Gündogan,Sergio Agüero,Raheem Sterling,Bernardo Silva","Claudio Bravo,Kyle Walker,Nicolás Otamendi,Rodrigo,Riyad Mahrez,Phil Foden,Gabriel Jesus","David Silva,Bernardo Silva,Raheem Sterling","62,73,89","Gabriel Jesus,Riyad Mahrez,Rodrigo","62,73,89",Benjamin Mendy,,"Vicente Guaita,Jairo Riedewald,Martin Kelly,Gary Cahill,James Tomkins,Jordan Ayew,James McCarthy,James McArthur,Wilfried Zaha,Cheikhou Kouyaté,Cenk Tosun","Wayne Hennessey,Sam Woods,Joel Ward,Scott Dann,Giovanni McGregor,Brandon Pierrick,Connor Wickham","Cenk Tosun,Jairo Riedewald","81,88","Connor Wickham,Joel Ward","81,88","Jordan Ayew,James McArthur",
Norwich,Bournemouth,1-0, Carrow Road,http://www.premierleague.com/match/46831,2019/20,Teemu Pukki,33,,,,,,,11.0,21.0,4.0,5.0,10.0,10.0,0.0,3.0,635.0,316.0,66.0,34.0,16.0,6.0,5.0,3.0,13.0,19.0,820.0,493.0,2.0,2.0,1.0,1.0,Paul Tierney,1579359600000.0,26781.0,4-2-3-1,4-3-3,Alexander Tettey,Steve Cook,"Tim Krul,Ben Godfrey,Sam Byram,Christoph Zimmermann,Max Aarons,Alexander Tettey,Emiliano Buendía,Todd Cantwell,Ondrej Duda,Kenny McLean,Teemu Pukki","Ralf Fährmann,Grant Hanley,Jamal Lewis,Tom Trybull,Lukas Rupp,Onel Hernández,Josip Drmic","Ondrej Duda,Teemu Pukki,Emiliano Buendía","78,85,90","Grant Hanley,Josip Drmic,Lukas Rupp","78,85,90","Tim Krul,Emiliano Buendía",Ben Godfrey,"Aaron Ramsdale,Diego Rico,Adam Smith,Steve Cook,Nathan Aké,Philip Billing,Dan Gosling,Jefferson Lerma,Ryan Fraser,Callum Wilson,Harry Wilson","Artur Boruc,Jack Simpson,Simon Francis,Lewis Cook,Andrew Surman,Sam Surridge,Dominic Solanke","Harry Wilson,Jefferson Lerma,Dan Gosling","34,78,86","Simon Francis,Dominic Solanke,Lewis Cook","34,78,86","Adam Smith,Callum Wilson",Steve Cook
Southampton,Wolves,2-3, St. Mary's Stadium,http://www.premierleague.com/match/46832,2019/20,"Jan Bednarek,Shane Long","15,35","Pedro Neto,Raúl Jiménez,Raúl Jiménez","53,65,76",Cédric Soares,35,"Adama Traoré,Adama Traoré","53,76",16.0,18.0,1.0,3.0,13.0,12.0,2.0,2.0,402.0,371.0,52.5,47.5,11.0,8.0,5.0,4.0,14.0,13.0,607.0,563.0,2.0,1.0,0.0,0.0,Darren England,1579359600000.0,31152.0,4-4-2,3-4-3,Pierre-Emile Højbjerg,Conor Coady,"Alex McCarthy,Jan Bednarek,Ryan Bertrand,Cédric Soares,Jack Stephens,Pierre-Emile Højbjerg,Nathan Redmond,Stuart Armstrong,James Ward-Prowse,Danny Ings,Shane Long","Angus Gunn,Jannik Vestergaard,Moussa Djenepo,Oriol Romeu,Sofiane Boufal,Che Adams,Michael Obafemi","Shane Long,Stuart Armstrong,Nathan Redmond","71,71,78","Che Adams,Moussa Djenepo,Sofiane Boufal","71,71,78","Jan Bednarek,James Ward-Prowse",,"Rui Patrício,Conor Coady,Leander Dendoncker,Romain Saïss,Rúben Neves,Matt Doherty,João Moutinho,Jonny,Raúl Jiménez,Adama Traoré,Pedro Neto","John Ruddy,Oskar Buur,Maximilian Kilman,Ryan Giles,Bruno Jordão,Morgan Gibbs-White,Benny Ashley-Seal",Pedro Neto,86,Maximilian Kilman,86,Rúben Neves,
West Ham,Everton,1-1, London Stadium,http://www.premierleague.com/match/46834,2019/20,Issa Diop,40,Dominic Calvert-Lewin,44,Robert Snodgrass,40,Mason Holgate,44,17.0,19.0,7.0,6.0,11.0,13.0,3.0,1.0,435.0,459.0,48.8,51.2,12.0,11.0,6.0,3.0,16.0,20.0,645.0,659.0,1.0,0.0,0.0,0.0,Andre Marriner,1579359600000.0,59915.0,4-4-1-1,4-4-2,Mark Noble,Séamus Coleman,"Darren Randolph,Aaron Cresswell,Angelo Ogbonna,Pablo Zabaleta,Issa Diop,Mark Noble,Robert Snodgrass,Pablo Fornals,Declan Rice,Manuel Lanzini,Sébastien Haller","David Martin,Fabián Balbuena,Gonçalo Cardoso,Winston Reid,Arthur Masuaku,Jeremy Ngakia,Albian Ajeti","Pablo Fornals,Manuel Lanzini","60,84","Arthur Masuaku,Albian Ajeti","60,84",Pablo Zabaleta,,"Jordan Pickford,Lucas Digne,Yerry Mina,Mason Holgate,Séamus Coleman,Theo Walcott,Tom Davies,Fabian Delph,Bernard,Moise Kean,Dominic Calvert-Lewin","Maarten Stekelenburg,Djibril Sidibé,Lewis Gibson,Leighton Baines,Morgan Schneiderlin,Oumar Niasse,Anthony Gordon","Bernard,Theo Walcott,Moise Kean","45,57,74","Anthony Gordon,Djibril Sidibé,Oumar Niasse","45,57,74",,
Newcastle,Chelsea,1-0, St. James' Park,http://www.premierleague.com/match/46830,2019/20,Isaac Hayden,90,,,Allan Saint-Maximin,90,,,40.0,9.0,1.0,10.0,9.0,14.0,1.0,2.0,286.0,655.0,30.1,69.9,7.0,19.0,2.0,4.0,13.0,15.0,507.0,854.0,1.0,1.0,0.0,0.0,Chris Kavanagh,1579368600000.0,52217.0,5-4-1,4-3-3,Jamaal Lascelles,César Azpilicueta,"Martin Dubravka,Federico Fernández,Ciaran Clark,Emil Krafth,Jamaal Lascelles,Jetro Willems,Allan Saint-Maximin,Jonjo Shelvey,Isaac Hayden,Miguel Almirón,Joelinton","Karl Darlow,Fabian Schär,Florian Lejeune,Matthew Longstaff,Christian Atsu,Sean Longstaff,Matt Ritchie","Jetro Willems,Emil Krafth,Jonjo Shelvey","12,71,85","Matt Ritchie,Sean Longstaff,Matthew Longstaff","12,71,85",Isaac Hayden,,"Kepa Arrizabalaga,Antonio Rüdiger,Reece James,Andreas Christensen,César Azpilicueta,Jorginho,Mason Mount,N'Golo Kanté,Callum Hudson-Odoi,Tammy Abraham,Willian","Willy Caballero,Emerson,Kurt Zouma,Mateo Kovacic,Ross Barkley,Michy Batshuayi,Pedro","Mason Mount,Reece James,Tammy Abraham","68,75,80","Ross Barkley,Emerson,Michy Batshuayi","68,75,80",Emerson,
